post_original_id,video_transcription
7603851600314092817,"O Partido dos Trabalhadores faz 46 anos. Nós não nascemos nos salões e gabinetes nem por conveniência eleitoral. Não. O PT nasceu da luta do povo, do chão da fábrica, do suor do homem e da mulher do campo, da batalha diária das periferias, das pastorais, dos movimentos sociais. E eu tenho muito orgulho, sim, de hoje estar aqui e poder dizer que o PT foi o único partido que, quando chegou ao poder, mudou de verdade para melhor a vida do nosso povo. Foi com o PT que o Brasil saiu do mapa da fome. Foi com o PT que o salário mínimo cresceu. Foi com o PT que milhões de famílias tiveram acesso a comida e emprego. Foi com o PT que filho de faxineira virou doutor. Foi com o PT que trabalhador assalariado teve casa própria. E sabe o que mais me dá orgulho? O PT cometeu um erro, sim, mas nunca mudou de lado. Sempre esteve do lado de quem trabalha, de quem é oprimido e quem precisa do que é público para viver com dignidade. Assim, crescemos e nos tornamos um dos maiores partidos de esquerda do mundo. Por isso, me sinto honrado de fazer parte desta história. E por isso também sigo acreditando em 26. Vou trabalhar muito para, mais uma vez, eleger Lula presidente. Porque o PT continua sendo a maior e mais poderosa ferramenta de luta do povo brasileiro por justiça, democracia, soberania e igualdade. Viva o PT! Viva o Lula! Viva o povo brasileiro!"
7606553056146263317,"Esse é o bloco da resistência, esse é o bloco da alegria, esse é o bloco do presidente Lula, esse é o bloco da estrela que vem transformando esse país. Aqui comemorando mais um ano, os 46 anos de luta, de resistência e de muitas conquistas de um partido que governa esse país e vai ser tetra esse ano com Lula presidente de novo. O partido do Bolsa Família, do Minha Casa Minha Vida, do SUS da Educação, o partido que coloca filho de trabalhador na universidade, o partido que garante cidadania para o nosso povo. Um grande abraço, viva o Pentezma Estrela, viva o partido dos trabalhadores com seus 46 anos de luta, resistência, conquistas e transformação nesse país. Legenda por Sônia Ruberti"
7606219574270348565,"É uma aventura no Carnaval do Recife, Carnaval cultural, uma participação popular, uma reverência muito grande em nossa cultura. E aqui também iniciamos essa grande campanha, se enlajando contra a grande etapa de violência contra as mulheres. E mulheres não se batem com nenhum amor. Brinde o Carnaval, respeite, nos ajude nessa campanha contra a violência contra as mulheres. Estamos juntos, o Carnaval é um espaço de alegria, é um espaço de alegria, sigam o Carnaval maior, venha o Recife."
7605796636647755029,"O sonho que se sonha só é apenas um sonho, mas um sonho que se sonha junto se torna realidade. Assim nos ensinou, assim nos inspirou Dom Helder Cândido. E hoje ele é homenageado com o Galo. Dom Helder vai para o mundo inteiro com seus ensinamentos, com o seu legado que nos inspirou para continuar lutando em defesa dos direitos da classe trabalhadora. O carnaval é alegria, é reverência. O carnaval é um momento de união, de força, de compraternização. Hoje eu fico muito feliz de ser homenageado por Leopoldo. Esse artista maravilhoso, esse artista com essa capacidade de fazer uma arte tão bonita como essa que encantou o povo do Recife. E vem muito mais por aí, porque sabe, a gente vai estar ao lado do maior fuleão, do fuleão mais amado do Brasil, do nosso presidente Lula, que ao lado de Dom Helder foi sempre um grande sonhador e um grande lutador em defesa do nosso povo. Dom Helder e o Galo da Madrugada, dois gigantes!"
7604925190065114388,"pessoal, vinha passando e não aguentei a sociedade. Hoje, dia do febro, vem ver aqui o galo. Galo que está tão bonito e é uma homenagem ao nosso querido Dom Helbert Cama. Todos nós somos frutos da luta, da história, da vivência e de tudo que defendeu e fez que desse país o nosso Dom Helbert Cama. Hoje é dia do febro, a sociedade bateu, logo logo ela vai estar de pé pra gente poder fazer um dos maiores carnavais. E esse ano muito mais que especial, que é um ano de muitas entregas e um ano de muitas felicidades. Vem com a minha mão."
7604866568748682517,E aí E aí
7607068536481139989,"Quando chega a época do milho, eu automaticamente acho que uma pamonha cairia bem. Obrigado."
7606694336759188756,"Eu estou aqui na Praça da Bíblia em Cerejeiras, onde tem dois tótens de internet, câmeras de segurança. E internet gratuito para quem quiser acessar qualquer coisa aqui, falar, acessar internet gratuita. Disponível, faz parte do programa Cidades Inteligentes. Dois ou três pontos da cidade disponíveis à população, o uso comum, a internet de alta qualidade. Nem todo mundo tem condições de ter internet em casa, pagar uma fibra ótica ou ter uma internet 4G no celular. Então possibilita que as pessoas venham aqui e usufruem dessa internet, sem qualquer tipo de bloqueio, uma internet rápida de última geração. Descobrimos que tem um único parlamentar, o senador de Rondônia, que implementou isso em Ariquemes. E nós pesquisamos sobre isso. O senhor lembra, senador? Nós procuramos o senhor lá em Brasília, apresentamos um documento, um ofício, tratamos sobre isso. Você falou, esse ano eu não posso, no outro ano eu posso. E cumpriu, está aqui, trouxe para Cerejeiras e aí o recurso está aí. É uma ação do projeto Cidades Inteligentes, das seis ações, uma é disponibilizar esse Wi-Fi público em vários pontos, principalmente pontos de concentração dos munícipes de Cerejeiras. E graças ao senador que está cumprindo agora a nossa promessa de campanha do primeiro mandato."
7606327331531066644,"Gente, hoje sexta-feira eu iniciei o feriadão do carnaval. Está aqui, olha. Aqui o colarzinho avaliando. Você que vai para a rua, pode usar. Eu que vou ficar em casa não vou usar, não é? Eu sou do bloco do papá, do filme, da leitura, dos contatos, não é? Eu quero desejar a você que aproveite bem esses dias, todos os dias, essa semana do carnaval. É uma festa extraordinária. O mundo todo admira. É maravilhoso assistir o espetáculo do carnaval, do Recife. É bom ver o galo da madrugada do Recife. É bom ver os tri elétricos de Salvador. É bom demais as escolas de sábado de São Paulo, do Rio de Janeiro. É um encanto extraordinário. Então para vocês, boas festas, aproveitem o máximo, divirtam muito. E aqueles como eu, vão aproveitar de outro jeito, não é, gente? Aí eu tenho uma pancada de livros aí para recomendar para vocês. Recomendo para aqueles que gostam de ler. Olha, eu estou lendo Conteição e Varista. Já li três livros, era seguidinho, não é? É muito bom. E tem livros maravilhosos também. Eu gosto muito de livros de ciências políticas, não é? A gente está lendo também. E tem também, além dos livros, as séries, os filmes. Eu recomendo para você o filme nosso que está em castaiz agora. Agente Secreto. Todo mundo, todo brasileiro deve assistir. Aqueles que são evangélicos, católicos, vão fazer suas orações, seus retiros espirituais. Também sejam abençoados. Você fica à vontade também para escolher os seus. Nós vamos, então, louvar o carnaval. Que seja abençoado. Que divirtam bastante. Bem, люди estãoavam pelo CNN, devem after all ser que o YA, TEMPOR! A luz da badina era. Um już... Que jovem tem para que ficar de agonja..."
7606028836311977237,"Estou na Avenida 7 de Setembro em Porto Velho, no Tudo Aqui. Essa marca é nossa. É um centro de atendimento ao cidadão, para suas documentações rápidas e eficientes. É um centro de cidadania. Eu tenho muito orgulho do Tudo Aqui."
7605767547417414932,"Notícia boa para as comunidades indígenas, Ricardo Franco e a todas as demais comunidades, aldeias próximas. Comunidade básica de saúde novinha para todo mundo. A aldeia Ricardo Franco fica no município de Guajara Mirim, bem na margem do rio Guaporé, Mamoré. Eu estive lá e não tem unidade de saúde. Os médicos, os enfermeiros, quando vão prestar assistência, eles improvisam os locais de última hora, sem conforto, para o alojamento da equipe. Nós colocamos o recurso e agora foi dado a ordem de serviço. Eu estou muito satisfeito. E assim a gente trabalha. Trabalha e atendendo as necessidades de quem precisa. E a aldeia Ricardo Franco precisa e agora será atendida. Uma unidade básica de saúde novinha para todo mundo."
7605597401604263188,"eu fico muito triste com a obra inacabada. A Eriquemes tinha várias creches inacabadas. Conversei com a prefeita Carla Redano, colocamos o recurso complementar, e ela, competente como é, já estamos inaugurando hoje uma delas, a creche Primeiros Passos, no bairro Bom Jesus, em Eriquemes. Quero abraçar todos os pais, cumprimentar a prefeita, a secretária Sandra, e toda a comunidade do bairro Bom Jesus. Esse é um trabalho que nós fazemos aqui em Brasília. De longe, nós estamos pensando em vocês. Para a gente é um prazer disponibilizar 208 vagas, sendo seis turmas de pré-escola em período integral, duas turmas de pré-período matutino, parcial, despertino, também parcial. E a gente deve muito ao doutor Confúcio, nosso senador, que disponibilizou recurso para que a gente conseguisse finalizar essa obra, que era um sonho, uma necessidade da nossa comunidade. Inaugurar essa creche representa muito mais que inaugurar uma obra. Representa pensar no futuro das nossas crianças. Nós agradecemos o senador Confúcio Moura, que disponibilizou o recurso para que finalizasse essa creche, um senador que pensa no futuro das nossas crianças. Muito obrigada. Nosso objetivo é zerar a filha das creches, a Yenne Kermes, e estão chegando perto."
7605370479968701717,"Atenção Cacoal e região. O senador Confúcio Moura trouxe para Cacoal a carreta da saúde da mulher do programa Agora Tem Especialistas. A carreta ficará na cidade por 30 dias, garantindo atendimento preventivo contra o câncer de mama e colo do útero e também exames. A iniciativa é resultado da articulação do senador Confúcio Moura junto ao governo federal e o Ministério da Saúde. Os atendimentos acontecem no estacionamento do Cacoal Shopping para pacientes regulados pelo SUS. Ainda não está na fila? Procure a sua unidade de saúde e garanta sua regulação. Confúcio Moura. Saúde perto de quem mais precisa."
7605239019869310228,"Eu vim aqui a uma audiência agora cedo, em Brasília, no diretor-geral do DENIS, doutor Fabrício. Eu vim solicitar aumento do orçamento para as rodovias federais de Rondônia. A BR-435, da cidade de Colorado, a BR-429, Costa Marques, que pega toda a extensão, muito longa, né? Um trecho da BR-364, Porto Velho até o Acre, e a BR que vai para Jaramirim. Então são rodovias importantes que precisam ser bem mantidas agora, com prioridade. Eu estou aqui para essa reivindicação e foi me prometido que não faltará recurso para Rondônia."
7604999499261562132,"Bem, o que me traz aqui hoje é o assassinato dentro de uma escola, de uma faculdade em Porto Velho, da professora Juliana por um aluno. Isso foi motivo de um noticiário nacional, eu não sei se chegou na esfera internacional. De qualquer forma, macula muito a imagem de Rondônia e também destaca a necessidade de uma política estadual muito forte no combate ao feminicídio, que Rondônia se destaca entre os estados que mais cometem crime ou violência contra a mulher. Então isso é extremamente grave. E nós apresentamos aqui no Congresso Nacional alguns projetos que endurecem penas para crimes dentro de escolas e também crimes contra a mulher. O problema é grave e foi objeto de um grande entendimento em nível de república, entre o poder executivo, o presidente da república, o poder judiciário e o poder legislativo. De ir juntos e com os estados e os municípios, a gente trabalhar um conserto, uma série de políticas de proteção à mulher. Sério, organizado, participativo, especial. Para que a gente reverta essa mancha sobre o povo brasileiro. Então eu espero que realmente haja essa comoção nacional, uma ação integrada de políticas públicas na proteção da mulher contra a violência de qualquer tipo. Prestando solidariedade à família da professora Juliana, que realmente é comovente a sua ação. E assim, enfim, os meus sentimentos pela sua morte tão abrupta, inesperada e violenta. E assim, enfim, os meus sentimentos pela sua morte tão abrupta, inesperada e violenta."
7604844686091619605,"eu nunca perguntei pra ele que partido deu dele. Eu não sei qual é o partido dele, nem me interessa. Eu não me interessa saber qual é o partido, se é PL, se é União Brasil, se é PT, não me interessa. O importante é a população da cidade, as carências da cidade."
7607055596692557074,MUSICA: Bateria de Escola de Samba 2024
7606043852079729927,"MUSICA: Agro, Fazenda, Roça, Plantação, Agricultura"
7605740819051597074,MUSICA: Breaking News
7605395796044860680,"Pessoal, o presidente Lula avisou que a Câmara dos Deputados já entendeu. É prioridade votar o fim da escala 6x1. Eu acho que nas próximas semanas a Câmara vai votar. Eu já tô trabalhando isso há muito tempo e até que enfim o povo vai ter mais qualidade de vida, mais tempo pra ficar com a família e mais felicidade. Fim da escala 6x1 já, isso vai dar muito mais tranquilidade pro povo trabalhador. Esse é o maior presente que a Câmara dos Deputados pode dar para o povo brasileiro nesse ano de 2026. Vamos trabalhar muito, vamos votar logo pelo fim da escala 6x1."
7604889657184095495,"Pessoal, começa hoje o show rural. Eu estou aqui como agricultor que sou. Aqui é o maior show tecnológico do Paraná, da agricultura de pequeno, médio e grande porte. Tem tecnologia para todo mundo, vale a pena vir aqui. Estou aqui representando oficialmente a Câmara dos Deputados. E a Câmara dos Deputados, pelo presidente Hugo Mota, definiu eu como representante oficial da Câmara nesse evento, a demonstração do quanto a Câmara dos Deputados dá importância para a agricultura brasileira. A agricultura brasileira é show. Com desenvolvimento que comercializa produtos no mundo todo, nós ampliamos para mais de 500 novos mercados nesse período de três anos e pouco. Isso é muito importante. São novas tecnologias dentro da sustentabilidade ambiental que garantam cada vez mais que a gente se adapte às realidades dos mercados no mundo afora e também no Brasil. Viva a agricultura brasileira, viva o show rural e tamo junto!"
7605727335584730389,"A única maneira de você garantir menos tempo de trabalho, mais renda e mais qualidade de vida para o trabalhador é aumentando a produtividade. O fim desse classeismo é um movimento que vem das ruas, movimento popular. Todas as vezes que se falou na história brasileira em se retirar, em se garantir uma maior qualidade no trabalho do brasileiro, se enfrenta resistência. Foi assim na redução da jornada de trabalho na construção de 88, de 48 para 44 horas. Foi assim na férias remuneradas, foi assim no descanso semanal remunerado, mas são questões que são importantes a gente discutir com o setor produtivo. A partir disso a gente consegue ter um equilíbrio muito grande entre garantir não esgotamento, mas um trabalho digno para a população brasileira, garantindo espaço para que tenha o seu momento de lazer com a família, com a religião, com tudo que envolve o ser humano de forma integral, e ao mesmo tempo a gente possa diminuir e fazer o mínimo possível custo para o empresariado brasileiro."
7607110563117747474,"O governo ibanês, que alguns chamam de enganês, outros chamam de roubanês, ele vive anunciando obras, só que em grande medida ele deixa de falar que parte substancial destas obras tem recurso federal. Ele esconde isso, esconde que tem recurso do governo Lula. É bom a gente lembrar que quando o ibanês era governador e o presidente era Bolsonaro, não tinha duplicação da BR-080. No governo ibanês com Lula a situação é outra. Por isso a diferença a favor da população está em Lula. E o ibanês age como se não tivesse qualquer responsabilidade com o escândalo do Banco Master. Mais de 12 bilhões comprando carteiras que não valiam nada. Que não valiam nada. Ibanês age como se não tivesse nenhuma responsabilidade. Mas veja, ele inaugurou recentemente, com muita pompa, uma UBS. Sabe quantas UBS nós poderíamos construir com estes mais de 12 bilhões que o ibanês fez o BR-B gastar com carteiras falidas? 2.033 UBS. E eu estou falando de UBS nível 5. Eu estou falando da UBS toda ocupada. Que o povo brasileiro precisa, precisa dela. Que o povo de Brasília precisa dela. Mas o ibanês não liga para o povo de Brasília. O ibanês só liga para banqueiros fraudulentos e corruptos. Ibanês, você não engana mais. Ibanês, você não engana mais. Obrigado por assistir!"
7606786175281433873,"Viver e não ter a vergonha de ser feliz Cantar e cantar e cantar A beleza de ser um eterno aprendiz Ah meu Deus Eu sei, eu sei Que a vida devia ser bem melhor e será Mas isso não impede que eu repita É bonita, é bonita e é bonita"
7606343006299376916,"Qual vai ser o meu projeto? Fazer o contrário do que o Lula está fazendo. O Lula faz hoje o quê? A taxa de desemprego cai para 5,6%. É o melhor resultado da série histórica do IBGE. Isenção do imposto de renda. Carteira de motorista mais barata. Salário mínimo subindo. Salário mínimo será de R$ 1.621. R$ 103 a mais que em 2025. Brasil respeitado lá fora. Comida na mesa. O Brasil saiu do mapa da fome de acordo com o relatório divulgado pela Organização das Nações Unidas. Isso não é discurso. É a vida real. O Lula. O povo voltou a viver. Fazia muito tempo que eu não avancei para o mercado. Eu ficava cheio, mano. Parece que tem um grupo de gente que não aceita a ideia de que as pessoas mais pobres subam no degrau na escala social desse país. Mas isso não é?! E aí"
7606179332725280020,"Comecei minha vida política há 50 anos atrás. E comecei na Universidade de Brasília, no movimento estudantil. E nós organizamos uma greve em 77, que acabou levando a minha expulsão como persona não grata e de outros companheiros, como a Arlete e companheiras. Mas naquele momento, aquela greve da Universidade de Brasília, ela se espalhou pelo Brasil inteiro. E nós íamos às ruas e nós dizíamos, vai acabar, vai acabar a ditadura militar. Vai avançar, vai avançar a resistência popular. Nós estamos aqui na posse da juventude do Partido das Trabalhadoras e dos Trabalhadores, que carrega a luta por uma sociedade mais justa. Nós aqui estamos para dizer que este companheiro Gabriel e essas companheiras e companheiros que vão aqui levar adiante a voz das juventudes, porque há muita juventude. Há juventude trabalhadora, há uma juventude que está encarcerada, que é uma juventude negra de periferia que está encarcerada. E a gente lembra que aqueles grilhões, o ferro dos grilhões, das senzalas, se transformaram no aço das balas para atingir os mesmos corpos e o aço das algemas para atingir os mesmos corpos. Nós temos a juventude cultural, nós temos a juventude estudantil. Esta cidade vai deixar a marca de uma juventude que não se merga, de uma juventude que não é mela. Aqui está a juventude do PT, pode temer, pode temer. Aqui está a juventude do PT."
7605423944392330516,"Hoje nós tivemos uma sessão solene aqui na Câmara, em homenagem aos 46 anos do PT. O PT é o partido que nasce da luta concreta da classe trabalhadora, que nasce cheio de sonhos. E que nasce, inclusive, como síntese de tantas experiências em defesa da liberdade, da democracia e dos direitos. O PT nasce do enfrentamento à ditadura militar, por isso tem um compromisso absolutamente radical com a democracia. O PT nasce para dizer que este país tem que ser o país de todos os brasileiros e de todas as brasileiras. Por isso é muito bom, 46 anos de um partido que hoje está na presidência da República, reconstruindo o Brasil que foi destruído pela lógica da extrema direita. O PT é o partido das trabalhadoras e dos trabalhadores, sintetizando todas as experiências que são experiências para fazer com que esse Brasil se abrace com seu próprio povo. O PT é partido da cultura, o PT é partido da educação, é partido da saúde, é partido do povo brasileiro. Por isso, nunca se esqueça, quem cuida de você é o PT. Parabéns, partido das trabalhadoras e dos trabalhadores. Viva o PT!"
7607211991446474040,"ano passado, já tivemos dias tumultuados. Eu tenho certeza que essas últimas 13 sessões que estão previstas oficialmente também não serão menos tumultuadas, vamos dizer assim, para não dizer. Porque vai chegando a reta final, naturalmente todos os interesses que estão ali começam a exercer o seu papel de influência para avaliar e influenciar no relatório. Nós deixamos, eu deixei claro desde o início, que nós faríamos uma primeira parte de investigações das associações e sindicatos. Fizemos, eu acredito, que 80% de todo esse trabalho. Ainda ficamos ali com 20% a 25% no sistema geral de nomes que nós gostaríamos de ter ouvido, mas que por questões de habeas corpus do Supremo Tribunal Federal, por questões de atestado médico, não puderam contribuir. E eu espero conseguir trazê-los ainda nesse semestre. Agora, para esse ano, nós prevíamos e estamos começando a trabalhar os empréstimos consignados, que é outra farra, outro absurdo. O BMG, que já está convocado, já fez um acordo, não entrará com pedido do Supremo para não vir. Virão. O diretor-presidente, ele estará conosco na primeira e segunda-feira, depois do carnaval. Agora, na quinta-feira, está convocado o Daniel Vorcaro, que até o momento não entrou também com habeas corpus. Eu espero que venha para nos explicar. Porque qual o grande objetivo? É nós sairmos dessa CPMI, primeiro, com a população sabendo claramente o que aconteceu. Porque vocês fizeram a parte pela imprensa. Nós estamos fazendo a parte pelo parlamento, que é investigar e dar transparência. Outro ponto, o que nós vamos fazer para que isso não se repita? Quais são as mudanças legais que nós temos que colocar em prática para que os aposentados possam ter tranquilidade com o seu recebimento? Já avançamos na questão de proibição de descontos. Hoje ninguém mais pode descontar. Mas vamos agora pensar os consignados. Como é que um banco master, por exemplo, consegue 254 mil contratos, passa a receber esse dinheiro do INSS automaticamente, e quando se faz uma auditoria mínima, se descobre, Natália, que eles não têm nenhuma comprovação de que essas pessoas autorizaram os descontos. Então há uma falha que precisa ser corrigida, ou por meio de uma nova legislação, ou até mesmo cobrando do INSS uma portaria interna que garanta mais transparência. Um dos dois e três"
